Store Name,Rating,Lat,Long,Address
MOM's Organic Market,4.7,39.0138761,-76.91998509999999,"9801 Rhode Island Ave, College Park, MD 20740, United States"
MOM's Organic Market Gaithersburg,4.7,39.1134145,-77.1845173,"10 Upper Rock Cir, Rockville, MD 20850, United States"
MOM's Organic Market,4.7,39.0530188,-77.11225329999999,"5566 Randolph Rd, Rockville, MD 20852, United States"
MOM's Organic Market,4.7,39.1694572,-76.7851925,"7351 Assateague Dr #190, Jessup, MD 20794, USA"
MOM's Organic Market,4.6,39.3676092,-76.45339990000001,"5267 Campbell Blvd, Nottingham, MD 21236, USA"
MOM's Organic Market,4.8,38.9824064,-76.7303178,"6824 Race Track Rd, Bowie, MD 20715, United States"
MOM's Organic Market,4.7,38.9159544,-76.98364819999999,"1501 New York Ave NE, Washington, DC 20002, United States"
MOM's Organic Market,4.7,38.6221907,-76.9176979,"3301 Plaza Dr, Waldorf, MD 20603, United States"
MOM's Organic Market,4.6,39.33630830000001,-76.6308361,"711 W 40th St #163, Baltimore, MD 21211, USA"
MOM's Organic Market,4.6,38.8962353,-77.0863091,"1901 N Veitch St, Arlington, VA 22201, United States"
MOM's Organic Market,4.6,39.4307111,-76.62316469999999,"20 W Ridgely Rd, Lutherville-Timonium, MD 21093, United States"
MOM's Organic Market,4.7,38.8411824,-77.0629879,"3831 Mt Vernon Ave, Alexandria, VA 22305, United States"
MOM's Organic Market,4.3,39.3759284,-77.4127173,"5273 Buckeystown Pike, Frederick, MD 21703, United States"
MOM's Organic Market,4.6,38.9701759,-77.3748596,"424 Elden St, Herndon, VA 20170, United States"
MOM's Organic Market,4.6,38.8736519,-77.23097729999999,"8298 Glass Alley, Fairfax, VA 22031, United States"
MOM's Organic Market,4.4,38.6380556,-77.3,"14470 Smoketown Rd, Woodbridge, Virginia 22193, United States"
MOM's Central Store Support,4.6,39.0531438,-77.1122829,"5612 Randolph Rd, Rockville, MD 20852, United States"
